id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,etl_ingest_ts,etl_source,etl_session_id,etl_run_by,etl_host
bitcoin,btc,Bitcoin,1,85871.0,1714375673186,67688602033.0,87995.0,85854.0,-251.3196465964138,-0.29182,19952637.0,19952637.0,21000000.0,126080.0,-31.53398,2025-10-06T18:57:42.558Z,67.81,127201.50923,2013-07-06T00:00:00.000Z,2025-11-24T09:31:35.910Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
ethereum,eth,Ethereum,2,2792.65,336783630103,23497467531.0,2881.29,2770.21,-15.285423619284757,-0.54436,120695639.9699993,120695639.9699993,,4946.05,-43.23583,2025-08-24T19:21:03.333Z,0.432979,648334.27905,2015-10-20T00:00:00.000Z,2025-11-24T09:31:36.113Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
tether,usdt,Tether,3,0.99967,184357302292,84824746155.0,0.999887,0.999488,6.36e-05,0.00636,184400433039.7958,189867369316.4662,,1.32,-24.44024,2018-07-24T00:00:00.000Z,0.572521,74.61852,2015-03-02T00:00:00.000Z,2025-11-24T09:31:41.681Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
ripple,xrp,XRP,4,2.04,123239137226,4059553966.0,2.1,2.03,0.00132366,0.06484,60256871588.0,99985757869.0,100000000000.0,3.65,-43.52182,2025-07-18T03:40:53.808Z,0.00268621,76566.02719,2014-05-22T00:00:00.000Z,2025-11-24T09:31:40.068Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
binancecoin,bnb,BNB,5,841.29,116025061817,1442243725.0,856.87,836.61,-2.2101090278410993,-0.26202,137736601.36,137736601.36,200000000.0,1369.99,-37.99938,2025-10-13T08:41:24.131Z,0.0398177,2133130.59622,2017-10-19T00:00:00.000Z,2025-11-24T09:31:35.824Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
usd-coin,usdc,USDC,6,0.999893,74112998068,10895827651.0,0.999897,0.999599,0.00018918,0.01892,74128164201.44287,74145362318.26987,,1.17,-14.75259,2019-05-08T00:40:28.300Z,0.877647,13.90708,2023-03-11T08:02:13.981Z,2025-11-24T09:31:30.425Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
solana,sol,Solana,7,128.67,71937071103,4659045776.0,133.96,128.65,-1.0187356867454582,-0.78551,559138794.9250681,614655490.003204,,293.31,-55.99488,2025-01-19T11:15:27.957Z,0.500801,25673.15917,2020-05-11T19:35:23.449Z,2025-11-24T09:31:40.456Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
tron,trx,TRON,8,0.276181,26146117070,546936569.0,0.27733,0.274371,0.00115275,0.41914,94677334577.01979,94677342906.9207,,0.431288,-35.87146,2024-12-04T00:10:40.323Z,0.00180434,15228.52208,2017-11-12T00:00:00.000Z,2025-11-24T09:31:41.691Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
staked-ether,steth,Lido Staked Ether,9,2791.56,24091317487,30884766.0,2877.63,2766.09,-13.239420637738021,-0.47203,8632271.136673426,8632271.136673426,,4932.89,-43.33244,2025-08-24T19:21:31.902Z,482.9,478.8719,2020-12-22T04:08:21.854Z,2025-11-24T09:31:40.306Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
dogecoin,doge,Dogecoin,10,0.14434,21953222116,1482003756.0,0.148935,0.143008,0.00091424,0.63743,151866486383.7052,151903926383.7052,,0.731578,-80.10283,2021-05-08T05:08:23.458Z,8.69e-05,167399.46263,2015-05-06T00:00:00.000Z,2025-11-24T09:31:34.457Z,2025-11-24T16:32:18,coingecko_coins_markets,7a8ba0fd-33e3-4a80-9259-0babb1e29d34,ADMIN,DESKTOP-AGABGEF
